pair,block,name,token_0_name,token_0_symbol,token_0_id,token_0_decimals,token_1_name,token_1_symbol,token_1_id,token_1_decimals,tx_hash,dex_name,creator,vol
0xbbcb2490091f8011484e97f1f07faa9a5d2ad28e,20551033,PEPU-WETH,Pepe Unchained,PEPU,0x1305f8db7b80ad73131ad78fb0019945a893fe57,18,Wrapped Ether,WETH,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,18,0xbf4d8813770854f170045f0e06938363dcd3d994b790762269de13b24385d14c,uniswapv2,0xb71fc319c229f2ad91dbaea299e36a62e33a1f13,20015.0994942005703
0xc443ee9231206bb0826aa246e91514332b2c0723,18068577,USDC-NEXT,USD Coin,USDC,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,6,Connext,NEXT,0xfe67a4450907459c3e1fff623aa927dd4e28c67a,18,0xb2a56cdbc6af1a3fbe43ad47e7d95ad73a910e10b62b880ec48a3ed550e6bbc7,uniswapv3,0x11e52c75998fe2E7928B191bfc5B25937Ca16741,19990.746338
0xda343364c36bdba86b20379ac833729e0f5412ee,18810200,WETH-TSUTSUJI,Wrapped Ether,WETH,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,18,Tsutsuji,TSUTSUJI,0xc739e89cbd5225c1266bb1ead3ff814a214edbdb,18,0x561a21f9ceedece8d165ba7f484d47ce31987755f9cea59341ed64a025b84862,uniswapv2,0xdc8DdecDBBd7c01F08B7530f397B8C6432Deb429,19983.6937249139163486
0x821b5c801c2fd4f729170eb874419fdb604580c7,20717167,iBOT-WETH,iBOT,iBOT,0x53097b291f1b016105cdab269f5e4aecb7e70d32,18,Wrapped Ether,WETH,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,18,0x4900327ea0d0dc6674858f2e9e9ba7e9986e72430bdadeddb2ffb77840cff86e,uniswapv2,0x267f9b388553223f2d94f8516663db5218b8e8ee,19943.007073732821807
0x811beed0119b4afce20d2583eb608c6f7af1954f,10569599,SHIB-WETH,SHIBA INU,SHIB,0x95ad61b0a150d79219dcf64e1e6cc01f0b64c4ce,18,Wrapped Ether,WETH,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,18,0x7f1be2ac40313400c83f23fbe3926bf6bf1d6b2b363264b3016444ea28fe21c7,uniswapv2,,19925.2914383150612837825
0xc05bdd0c4b0d37b84207522bcc998eedc9deecee,12502026,WETH-HYVE,Wrapped Ether,WETH,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,18,HYVE,HYVE,0xd794dd1cada4cf79c9eebaab8327a1b0507ef7d4,18,0x114401f1c91bef0391855b9a52fbacff1bc7ce211be27e96948cd8e92b38782e,uniswapv3,,19917.9052404961838230
0x859f7092f56c43bb48bb46de7119d9c799716cdf,14407001,XCN-WETH,Chain,XCN,0xa2cd3d43c775978a96bdbf12d733d5a1ed94fb18,18,Wrapped Ether,WETH,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,18,0xcce5e33b9ea3da5ce049b7065268e3d407cb408bb3f2f15a2a7f55e11aab8ec1,uniswapv2,,19885.884948823259602
0x858a2ca525466a5c7ad1bd4f66ecbfdcc938f237,16306204,MPL-USDC,Maple Token,MPL,0x33349b282065b0284d756f0577fb39c158f935e6,18,USD Coin,USDC,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,6,0x0c42faab7208ba750bc56374685900db2426675226fffe4b0772d6344d4eee2f,uniswapv3,0x58f5F0684C381fCFC203D77B2BbA468eBb29B098,19864.637950
0x2a0833fc91178d7eb2d81d346ed9fe0e3bfece93,20708475,WAGIE-WETH,Wagie,WAGIE,0xad04c254b62cb90cf0669f9e6753fd4452e1c7f0,9,Wrapped Ether,WETH,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,18,0x78698f4294134e6a2374afc3c43f3ce6a6bdfe9092ae50512aba90b8446f57eb,uniswapv2,0x9aa928f3bad19fdf90222c905aee7440fc58ef0a,19864.084044352580666
0x0a24e4937e00d94124fde1471ece2d5fb251e1e5,18680315,GFY-WETH,go fu*k yourself.,GFY,0x2d9d7c64f6c00e16c28595ec4ebe4065ef3a250b,9,Wrapped Ether,WETH,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,18,0xf370f63d0ef69e949d776690003d82b21be81581b98811f6336cd9955fd07f0b,uniswapv2,0x8E72C98b524d37469A41278097206041c9502F20,19863.822388589637552
